2009-12-12 00:00:00 Launching analysis for 1572830552 with LEAN Engine v2.5.0.0
2009-12-12 00:00:00 Accurate daily end-times now enabled by default. See more at https://qnt.co/3YHaWHL. To disable it and use legacy daily bars set self.settings.daily_precise_end_time = False.
2009-12-12 00:00:00 Algorithm starting warm up...
2010-01-04 11:00:00 Algorithm finished warming up.
2010-01-04 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: False, ATR: False
2010-01-05 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: False, ATR: False
2010-01-06 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: False, ATR: False
2010-01-07 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: False, ATR: False
2010-01-08 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: False, ATR: False
2010-01-11 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: False, ATR: False
2010-01-12 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: False, ATR: True
2010-01-13 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: False, ATR: True
2010-01-14 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: False, ATR: True
2010-01-15 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: True, ATR: True
2010-01-19 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: True, ATR: True
2010-01-20 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: True, ATR: True
2010-01-21 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: True, ATR: True
2010-01-22 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: True, ATR: True
2010-01-25 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: True, ATR: True
2010-01-26 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: True, ATR: True
2010-01-27 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: True, ATR: True
2010-01-28 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: True, ATR: True
2010-01-29 16:00:00 Indicators not ready for AAPL. Entry: False, Exit: True, ATR: True
2010-03-10 16:00:00 Symbol: AAPL, Price: 6.916769337706628, Upper Entry: 6.936457704439115, Lower Entry: 5.969881950166111
2010-03-11 16:00:00 Warning: all market orders sent using daily data, or market orders sent after hours are automatically converted into MarketOnOpen orders.
2010-03-11 16:00:00 Symbol: AAPL, Price: 6.937072965899505, Upper Entry: 6.937072965899505, Lower Entry: 5.969881950166111
2010-03-11 16:00:00 Breakout signal: AAPL price 6.937072965899505 above upper channel 6.937072965899505
2010-03-11 16:00:00 Entering Long: AAPL, Quantity: 40868, Price: 6.937072965899505, Stop: 6.692383483102322
2010-03-12 16:00:00 Symbol: AAPL, Price: 6.970912346220966, Upper Entry: 7.005674618733012, Lower Entry: 6.0209486513784976
2010-03-15 16:00:00 Symbol: AAPL, Price: 6.886006264687118, Upper Entry: 7.005674618733012, Lower Entry: 6.0209486513784976
2010-03-16 16:00:00 Symbol: AAPL, Price: 6.907848046530971, Upper Entry: 7.005674618733012, Lower Entry: 6.0209486513784976
2010-03-17 16:00:00 Symbol: AAPL, Price: 6.894619925132582, Upper Entry: 7.005674618733012, Lower Entry: 6.0209486513784976
2010-03-18 16:00:00 Symbol: AAPL, Price: 6.914000661134873, Upper Entry: 7.005674618733012, Lower Entry: 6.0209486513784976
2010-03-19 16:00:00 Symbol: AAPL, Price: 6.838631132237073, Upper Entry: 7.005674618733012, Lower Entry: 6.0209486513784976
2010-03-22 16:00:00 Symbol: AAPL, Price: 6.917692229897214, Upper Entry: 7.005674618733012, Lower Entry: 6.0209486513784976
2010-03-23 16:00:00 Symbol: AAPL, Price: 7.026285877656084, Upper Entry: 7.037975845403498, Lower Entry: 6.056941446811323
2010-03-24 16:00:00 Symbol: AAPL, Price: 7.056126058485009, Upper Entry: 7.081659409091202, Lower Entry: 6.056941446811323
2010-03-25 16:00:00 Symbol: AAPL, Price: 6.972450499871941, Upper Entry: 7.10565460604642, Lower Entry: 6.21414074994102
2010-03-26 16:00:00 Symbol: AAPL, Price: 7.103193560204859, Upper Entry: 7.135494786875345, Lower Entry: 6.324887812811256
2010-03-29 16:00:00 Symbol: AAPL, Price: 7.149030539003928, Upper Entry: 7.194252256342609, Lower Entry: 6.390720789073008
2010-03-30 16:00:00 Symbol: AAPL, Price: 7.254855510191043, Upper Entry: 7.305614580673234, Lower Entry: 6.39687340367691
2010-03-31 16:00:00 Symbol: AAPL, Price: 7.2271687444734845, Upper Entry: 7.305614580673234, Lower Entry: 6.418407554790567
2010-04-01 16:00:00 Symbol: AAPL, Price: 7.259162340413774, Upper Entry: 7.343760791217427, Lower Entry: 6.602678362177431
2010-04-05 16:00:00 Symbol: AAPL, Price: 7.3366852844229395, Upper Entry: 7.343760791217427, Lower Entry: 6.702965980221034
2010-04-06 16:00:00 Symbol: AAPL, Price: 7.368986511093426, Upper Entry: 7.390520662207082, Lower Entry: 6.702965980221034
2010-04-07 16:00:00 Symbol: AAPL, Price: 7.401595368494106, Upper Entry: 7.442202624879858, Lower Entry: 6.772490525245126
2010-04-08 16:00:00 Symbol: AAPL, Price: 7.38129174030123, Upper Entry: 7.442202624879858, Lower Entry: 6.772490525245126
2010-04-09 16:00:00 Symbol: AAPL, Price: 7.441279732689274, Upper Entry: 7.442202624879858, Lower Entry: 6.772490525245126
2010-04-12 16:00:00 Symbol: AAPL, Price: 7.453584961897077, Upper Entry: 7.477580158852296, Lower Entry: 6.772490525245126
2010-04-13 16:00:00 Symbol: AAPL, Price: 7.457584161389613, Upper Entry: 7.477580158852296, Lower Entry: 6.772490525245126
